"currency","iso_code","exponent","is_crypto"
"NGN",566,2,FALSE
"NIO",558,2,FALSE
"NMC",,,TRUE
"NOK",578,2,FALSE
"NPR",524,2,FALSE
"NVC",,,TRUE
"NXT",,,TRUE
"NZD",554,2,FALSE
"OMR",512,3,FALSE
"PAB",590,2,FALSE
"PEN",604,2,FALSE
"PGK",598,2,FALSE
"PHP",608,2,FALSE
"PKR",586,2,FALSE
"PLN",985,2,FALSE
"PPC",,,TRUE
"PYG",600,0,FALSE
"QAR",634,2,FALSE
"RON",946,2,FALSE
"RSD",941,2,FALSE
"RUB",643,2,FALSE
"RUR",,2,FALSE
"RWF",646,0,FALSE
"SAR",682,2,FALSE
"SBD",90,2,FALSE
"SCR",690,2,FALSE
"SDG",938,2,FALSE
"SEK",752,2,FALSE
"SGD",702,2,FALSE
"SHP",654,2,FALSE
"SLL",694,2,FALSE
"SOS",706,2,FALSE
"SRD",968,2,FALSE
"SSP",728,2,FALSE
"STD",678,2,FALSE
"STR",,,TRUE
"SVC",222,2,FALSE
"SYP",760,2,FALSE
"SZL",748,2,FALSE
"THB",764,2,FALSE
"TJS",972,2,FALSE
"TMT",934,2,FALSE
"TND",788,3,FALSE
"TOP",776,2,FALSE
"TRL",,0,FALSE
"TRY",949,2,FALSE
"TTD",780,2,FALSE
"TWD",901,2,FALSE
"TZS",834,2,FALSE
"UAH",980,2,FALSE
"UGX",800,0,FALSE
"USD",840,2,FALSE
"USN",997,2,FALSE
"UYI",940,0,FALSE
"UYU",858,2,FALSE
"UZS",860,2,FALSE
"VEF",937,2,FALSE
"VEF_BLKMKT",,,FALSE
"VEF_DICOM",,,FALSE
"VEF_DIPRO",,,FALSE
"VND",704,0,FALSE
"VTC",,,TRUE
"VUV",548,0,FALSE
"WST",882,2,FALSE
"XAF",950,0,FALSE
"XAG",,,FALSE
"XAU",,,FALSE
"XCD",951,2,FALSE
"XDR",960,0,FALSE
"XMR",,,TRUE
"XOF",952,0,FALSE
"XPD",,,FALSE
"XPF",953,0,FALSE
"XPM",,,TRUE
"XPT",,,FALSE
"XSU",994,0,FALSE
"XUA",965,0,FALSE
"YER",886,2,FALSE
"ZAR",710,2,FALSE
"ZMW",967,2,FALSE
"ZWD",,2,FALSE
"ZWL",932,2,FALSE
"XRP",,6,TRUE
"BCH",,8,TRUE
